StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,Sender_Relevance_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,PresenceNetwork_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1
2025-04-29 19:53:20,2025-04-29 19:54:39,IP Address,89.98.163.147,100,78,True,2025-04-29 19:54:39,R_3rGNfmJr12q8pMm,,,,,52.3672,4.918,anonymous,EN,Ada Shi,10A,No,,,,,,,,,,,,,
2025-04-29 20:22:28,2025-04-29 20:23:08,IP Address,89.98.163.147,100,39,True,2025-04-29 20:23:08,R_6NfZQVIKPcIgwp4,,,,,52.3672,4.918,anonymous,EN,Ada Shi,11A,No,,,,,,,,,,,,,
2025-04-29 20:23:10,2025-04-29 20:23:41,IP Address,89.98.163.147,100,31,True,2025-04-29 20:23:42,R_6AYczys1vuDGgC7,,,,,52.3672,4.918,anonymous,EN,Ada Shi,12A,No,,,,,,,,,,,,,
2025-04-29 20:23:43,2025-04-29 20:23:58,IP Address,89.98.163.147,100,15,True,2025-04-29 20:23:59,R_5uvv6EN4KtDetOu,,,,,52.3672,4.918,anonymous,EN,Ada Shi,13A,No,,,,,,,,,,,,,
2025-04-29 20:24:00,2025-04-29 20:24:13,IP Address,89.98.163.147,100,13,True,2025-04-29 20:24:13,R_5CKJOWb0p7ZQG0c,,,,,52.3672,4.918,anonymous,EN,Ada Shi,14A,No,,,,,,,,,,,,,
2025-04-29 20:24:15,2025-04-29 20:26:55,IP Address,89.98.163.147,100,160,True,2025-04-29 20:26:56,R_3gzS4lWoVaOXNxF,,,,,52.3672,4.918,anonymous,EN,Ada Shi,15A,Yes,First,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,No,Yes,,
2025-04-29 20:26:57,2025-04-29 20:27:15,IP Address,89.98.163.147,100,17,True,2025-04-29 20:27:15,R_6ND6UjXONX9fFQo,,,,,52.3672,4.918,anonymous,EN,Ada Shi,16A,No,,,,,,,,,,,,,
2025-04-29 20:27:16,2025-04-29 20:27:45,IP Address,89.98.163.147,100,28,True,2025-04-29 20:27:45,R_3dQ85VulQkAN9Ml,,,,,52.3672,4.918,anonymous,EN,Ada Shi,17A,No,,,,,,,,,,,,,
2025-04-29 20:27:46,2025-04-29 20:28:05,IP Address,89.98.163.147,100,18,True,2025-04-29 20:28:06,R_1Ln6TxSNb0Ni8HY,,,,,52.3672,4.918,anonymous,EN,Ada Shi,18A,No,,,,,,,,,,,,,
2025-04-29 20:28:07,2025-04-29 20:28:22,IP Address,89.98.163.147,100,14,True,2025-04-29 20:28:22,R_5HfYTQpPbk9WJGN,,,,,52.3672,4.918,anonymous,EN,Ada Shi,19A,No,,,,,,,,,,,,,
2025-04-29 20:28:24,2025-04-29 20:28:47,IP Address,89.98.163.147,100,23,True,2025-04-29 20:28:47,R_6Qz9wYzaUyLUehe,,,,,52.3672,4.918,anonymous,EN,Ada Shi,20A,No,,,,,,,,,,,,,
2025-04-29 20:28:49,2025-04-29 20:29:20,IP Address,89.98.163.147,100,31,True,2025-04-29 20:29:20,R_5jVfcfxT1Ix0LJN,,,,,52.3672,4.918,anonymous,EN,Ada Shi,21A,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-04-29 20:29:21,2025-04-29 20:31:46,IP Address,89.98.163.147,100,144,True,2025-04-29 20:31:46,R_1otAuHP4YmpffcH,,,,,52.3672,4.918,anonymous,EN,Ada Shi,22A,Yes,First,Yes,Negatively,No,,Yes,"Minority Groups (e.g. Immigrants, Queer People)",,,No,No,Yes,
2025-04-29 20:31:49,2025-04-29 20:32:22,IP Address,89.98.163.147,100,33,True,2025-04-29 20:32:23,R_1FQy263YpevOBXa,,,,,52.3672,4.918,anonymous,EN,Ada Shi,22A,Yes,Second,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,Yes,
2025-04-29 20:32:24,2025-04-29 20:33:05,IP Address,89.98.163.147,100,40,True,2025-04-29 20:33:05,R_12e9NwwBwhYsiVX,,,,,52.3672,4.918,anonymous,EN,Ada Shi,23A,Yes,First,Yes,Ambiguously,,,,,,,,,,
2025-04-29 20:33:06,2025-04-29 20:34:10,IP Address,89.98.163.147,100,63,True,2025-04-29 20:34:10,R_7mt8Ju1DK2PAKW2,,,,,52.3672,4.918,anonymous,EN,Ada Shi,24A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,Yes,,
2025-04-29 20:34:11,2025-04-29 20:34:56,IP Address,89.98.163.147,100,44,True,2025-04-29 20:34:56,R_1BRvEYZ9Fgt1m6h,,,,,52.3672,4.918,anonymous,EN,Ada Shi,25A,No,,,,,,,,,,,,,
2025-04-29 20:34:58,2025-04-29 20:35:34,IP Address,89.98.163.147,100,36,True,2025-04-29 20:35:35,R_5FOiZtOZLgHKNON,,,,,52.3672,4.918,anonymous,EN,Ada Shi,26A,No,,,,,,,,,,,,,
2025-04-29 20:35:36,2025-04-29 20:36:07,IP Address,89.98.163.147,100,30,True,2025-04-29 20:36:07,R_7FIwdaCyRXjAuBP,,,,,52.3672,4.918,anonymous,EN,Ada Shi,27A,No,,,,,,,,,,,,,
2025-04-29 20:36:08,2025-04-29 20:37:44,IP Address,89.98.163.147,100,96,True,2025-04-29 20:37:45,R_1PRzvyhLDX2xW5l,,,,,52.3672,4.918,anonymous,EN,Ada Shi,28A,Yes,First,Yes,Negatively,No,,Yes,"Media (e.g., Fake News)",,,No,No,Yes,
2025-04-29 20:37:46,2025-04-29 20:39:02,IP Address,89.98.163.147,100,75,True,2025-04-29 20:39:03,R_7ey55lgShN6Vd7X,,,,,52.3672,4.918,anonymous,EN,Ada Shi,29A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-04-29 20:39:04,2025-04-29 20:39:24,IP Address,89.98.163.147,100,19,True,2025-04-29 20:39:24,R_6Bqx2MsmtJB8myN,,,,,52.3672,4.918,anonymous,EN,Ada Shi,30A,No,,,,,,,,,,,,,
2025-04-29 20:39:26,2025-04-29 20:39:40,IP Address,89.98.163.147,100,14,True,2025-04-29 20:39:41,R_6MM59V6gDoYnBQu,,,,,52.3672,4.918,anonymous,EN,Ada Shi,31A,No,,,,,,,,,,,,,
2025-04-29 20:39:42,2025-04-29 20:39:57,IP Address,89.98.163.147,100,15,True,2025-04-29 20:39:58,R_171hoQ40YGBGdsk,,,,,52.3672,4.918,anonymous,EN,Ada Shi,32A,No,,,,,,,,,,,,,
2025-04-29 20:40:04,2025-04-29 20:40:18,IP Address,89.98.163.147,100,13,True,2025-04-29 20:40:18,R_5kGrwk7Cqc1xXC3,,,,,52.3672,4.918,anonymous,EN,Ada Shi,33A,No,,,,,,,,,,,,,
2025-04-29 20:40:19,2025-04-29 20:40:47,IP Address,89.98.163.147,100,27,True,2025-04-29 20:40:47,R_10cWYoU7sbMP3iX,,,,,52.3672,4.918,anonymous,EN,Ada Shi,34A,No,,,,,,,,,,,,,
2025-04-29 20:40:48,2025-04-29 20:41:04,IP Address,89.98.163.147,100,15,True,2025-04-29 20:41:04,R_1cbWMmEHhgTjc5J,,,,,52.3672,4.918,anonymous,EN,Ada Shi,35A,No,,,,,,,,,,,,,
2025-04-29 20:41:07,2025-04-29 20:41:20,IP Address,89.98.163.147,100,13,True,2025-04-29 20:41:21,R_1fkl8HeOfO0Y3Bu,,,,,52.3672,4.918,anonymous,EN,Ada Shi,36A,No,,,,,,,,,,,,,
2025-04-29 20:41:23,2025-04-29 20:41:43,IP Address,89.98.163.147,100,20,True,2025-04-29 20:41:43,R_1i264DMjsVozjCS,,,,,52.3672,4.918,anonymous,EN,Ada Shi,37A,No,,,,,,,,,,,,,
2025-04-29 20:41:44,2025-04-29 20:43:38,IP Address,89.98.163.147,100,113,True,2025-04-29 20:43:38,R_1d1zJotOd2FAADv,,,,,52.3672,4.918,anonymous,EN,Ada Shi,38A,No,,,,,,,,,,,,,
2025-04-29 20:43:40,2025-04-29 20:44:15,IP Address,89.98.163.147,100,35,True,2025-04-29 20:44:15,R_5TKUWwu6nzM3a11,,,,,52.3672,4.918,anonymous,EN,Ada Shi,39A,No,,,,,,,,,,,,,
2025-04-29 20:44:17,2025-04-29 20:44:38,IP Address,89.98.163.147,100,21,True,2025-04-29 20:44:39,R_6y1xgWZ1ph7Ak0t,,,,,52.3672,4.918,anonymous,EN,Ada Shi,40A,No,,,,,,,,,,,,,
2025-04-29 20:44:47,2025-04-29 20:45:02,IP Address,89.98.163.147,100,15,True,2025-04-29 20:45:02,R_5nr75y3IOBjSpV4,,,,,52.3672,4.918,anonymous,EN,Ada Shi,41A,No,,,,,,,,,,,,,
2025-04-29 20:45:03,2025-04-29 20:46:20,IP Address,89.98.163.147,100,77,True,2025-04-29 20:46:21,R_7kifq55EdFmWgZi,,,,,52.3672,4.918,anonymous,EN,Ada Shi,42A,No,,,,,,,,,,,,,
2025-04-29 20:46:22,2025-04-29 20:46:39,IP Address,89.98.163.147,100,17,True,2025-04-29 20:46:39,R_2VW6p1ODk5d3OSt,,,,,52.3672,4.918,anonymous,EN,Ada Shi,43A,No,,,,,,,,,,,,,
2025-04-29 20:46:41,2025-04-29 20:48:10,IP Address,89.98.163.147,100,89,True,2025-04-29 20:48:10,R_8pWv4UyyUn7shMY,,,,,52.3672,4.918,anonymous,EN,Ada Shi,44A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-04-29 20:48:11,2025-04-29 20:48:40,IP Address,89.98.163.147,100,28,True,2025-04-29 20:48:40,R_5gq1ItVQpj8Ii18,,,,,52.3672,4.918,anonymous,EN,Ada Shi,45A,No,,,,,,,,,,,,,
2025-04-29 20:48:41,2025-04-29 20:48:53,IP Address,89.98.163.147,100,12,True,2025-04-29 20:48:54,R_7P60jnvdxQ5AcsF,,,,,52.3672,4.918,anonymous,EN,Ada Shi,46A,No,,,,,,,,,,,,,
2025-04-29 20:48:55,2025-04-29 20:49:11,IP Address,89.98.163.147,100,15,True,2025-04-29 20:49:11,R_5PS7AKwyMK7eRx0,,,,,52.3672,4.918,anonymous,EN,Ada Shi,47A,No,,,,,,,,,,,,,
2025-04-29 20:49:12,2025-04-29 20:49:23,IP Address,89.98.163.147,100,11,True,2025-04-29 20:49:24,R_5mtp8QweTj968kx,,,,,52.3672,4.918,anonymous,EN,Ada Shi,48A,No,,,,,,,,,,,,,
2025-04-29 20:49:25,2025-04-29 20:49:40,IP Address,89.98.163.147,100,15,True,2025-04-29 20:49:41,R_1yUST8WspuPQz3X,,,,,52.3672,4.918,anonymous,EN,Ada Shi,49A,No,,,,,,,,,,,,,
2025-04-29 20:49:42,2025-04-29 20:49:59,IP Address,89.98.163.147,100,17,True,2025-04-29 20:50:00,R_3qVjgfLIaoR5qlT,,,,,52.3672,4.918,anonymous,EN,Ada Shi,50A,No,,,,,,,,,,,,,
2025-05-01 10:10:35,2025-05-01 10:11:27,IP Address,89.98.163.147,100,51,True,2025-05-01 10:11:27,R_2Pd8RE60969sG2Z,,,,,52.3672,4.918,anonymous,EN,Ada Shi,51A,No,,,,,,,,,,,,,
2025-05-01 10:11:28,2025-05-01 10:11:40,IP Address,89.98.163.147,100,11,True,2025-05-01 10:11:40,R_2ciUPsRuqwWJCUG,,,,,52.3672,4.918,anonymous,EN,Ada Shi,52A,No,,,,,,,,,,,,,
2025-05-01 10:11:41,2025-05-01 10:12:15,IP Address,89.98.163.147,100,33,True,2025-05-01 10:12:15,R_87OU4IcdPbcNfWN,,,,,52.3672,4.918,anonymous,EN,Ada Shi,53A,No,,,,,,,,,,,,,
2025-05-01 10:12:16,2025-05-01 10:12:37,IP Address,89.98.163.147,100,20,True,2025-05-01 10:12:37,R_2M51ev7wMjVeccp,,,,,52.3672,4.918,anonymous,EN,Ada Shi,54A,No,,,,,,,,,,,,,
2025-05-01 10:12:38,2025-05-01 10:12:54,IP Address,89.98.163.147,100,15,True,2025-05-01 10:12:54,R_2NW0kmgdWfK980y,,,,,52.3672,4.918,anonymous,EN,Ada Shi,55A,No,,,,,,,,,,,,,
2025-05-01 10:12:55,2025-05-01 10:13:48,IP Address,89.98.163.147,100,52,True,2025-05-01 10:13:48,R_2F1Zq1x2teGiYOA,,,,,52.3672,4.918,anonymous,EN,Ada Shi,56A,Yes,First,Yes,Negatively,Yes,Hillary Clinton,,,,,No,No,No,No
2025-05-01 10:13:51,2025-05-01 10:14:30,IP Address,89.98.163.147,100,39,True,2025-05-01 10:14:31,R_2TTfIMf3IL69pTz,,,,,52.3672,4.918,anonymous,EN,Ada Shi,57A,No,,,,,,,,,,,,,
2025-05-01 10:14:31,2025-05-01 10:14:49,IP Address,89.98.163.147,100,17,True,2025-05-01 10:14:49,R_8O2opYb85uO83Db,,,,,52.3672,4.918,anonymous,EN,Ada Shi,58A,No,,,,,,,,,,,,,
2025-05-01 10:14:50,2025-05-01 10:16:05,IP Address,89.98.163.147,100,75,True,2025-05-01 10:16:05,R_8l4K6BaJQOola1j,,,,,52.3672,4.918,anonymous,EN,Ada Shi,59A,Yes,First,Yes,Positively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,Yes,,,
2025-05-01 10:16:06,2025-05-01 10:16:27,IP Address,89.98.163.147,100,20,True,2025-05-01 10:16:27,R_8ZI8AKaxeeMkprG,,,,,52.3672,4.918,anonymous,EN,Ada Shi,60A,No,,,,,,,,,,,,,
2025-05-01 10:16:28,2025-05-01 10:17:30,IP Address,89.98.163.147,100,61,True,2025-05-01 10:17:30,R_8D0PIfX0ax86R16,,,,,52.3672,4.918,anonymous,EN,Ada Shi,61A,Yes,First,No,,,,,,,,,,,
2025-05-01 10:17:31,2025-05-01 10:17:41,IP Address,89.98.163.147,100,9,True,2025-05-01 10:17:41,R_2E7lRaqIdL6SUCV,,,,,52.3672,4.918,anonymous,EN,Ada Shi,62A,No,,,,,,,,,,,,,
2025-05-01 10:17:42,2025-05-01 10:19:13,IP Address,89.98.163.147,100,91,True,2025-05-01 10:19:13,R_8g6BbliFX694Nk5,,,,,52.3672,4.918,anonymous,EN,Ada Shi,63A,No,,,,,,,,,,,,,
2025-05-01 10:19:14,2025-05-01 10:19:54,IP Address,89.98.163.147,100,40,True,2025-05-01 10:19:55,R_2hzkJkLbzgbDnH0,,,,,52.3672,4.918,anonymous,EN,Ada Shi,64A,No,,,,,,,,,,,,,
2025-05-01 10:19:55,2025-05-01 10:21:40,IP Address,89.98.163.147,100,104,True,2025-05-01 10:21:40,R_8GVNsqeetSDmc1a,,,,,52.3672,4.918,anonymous,EN,Ada Shi,65A,No,,,,,,,,,,,,,
2025-05-01 10:21:41,2025-05-01 10:25:03,IP Address,89.98.163.147,100,202,True,2025-05-01 10:25:03,R_8V9oGgdf1j182cZ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,66A,Yes,First,Yes,Positively,No,,Yes,"Other Collectives (e.g. Other Countries, Other Political Groups, NGOs, Public Enterprises, International Governing Institutions)",,,No,No,Yes,
2025-05-01 10:25:04,2025-05-01 10:25:16,IP Address,89.98.163.147,100,12,True,2025-05-01 10:25:17,R_2I1SualPbz53HnX,,,,,52.3672,4.918,anonymous,EN,Ada Shi,67A,No,,,,,,,,,,,,,
2025-05-01 10:25:18,2025-05-01 10:25:40,IP Address,89.98.163.147,100,22,True,2025-05-01 10:25:40,R_8KNJdaLRz00X4hG,,,,,52.3672,4.918,anonymous,EN,Ada Shi,68A,No,,,,,,,,,,,,,
2025-05-01 10:25:41,2025-05-01 10:25:52,IP Address,89.98.163.147,100,11,True,2025-05-01 10:25:53,R_2OpNDIsTSKBZJ0W,,,,,52.3672,4.918,anonymous,EN,Ada Shi,69A,No,,,,,,,,,,,,,
2025-05-01 10:25:54,2025-05-01 10:26:19,IP Address,89.98.163.147,100,25,True,2025-05-01 10:26:20,R_2OMKbzfH6p5yMdJ,,,,,52.3672,4.918,anonymous,EN,Ada Shi,70A,No,,,,,,,,,,,,,
2025-05-01 11:03:56,2025-05-01 11:04:12,IP Address,89.98.163.147,100,15,True,2025-05-01 11:04:12,R_2XpR7CtRWHlKI1z,,,,,52.3672,4.918,anonymous,EN,Ada Shi,71A,No,,,,,,,,,,,,,
2025-05-01 11:04:13,2025-05-01 11:05:56,IP Address,89.98.163.147,100,102,True,2025-05-01 11:05:56,R_8jSCHbszbrqCTm6,,,,,52.3672,4.918,anonymous,EN,Ada Shi,72A,No,,,,,,,,,,,,,
2025-05-01 11:05:57,2025-05-01 11:06:25,IP Address,89.98.163.147,100,27,True,2025-05-01 11:06:25,R_8QDtBFxXhWr3CQS,,,,,52.3672,4.918,anonymous,EN,Ada Shi,73A,No,,,,,,,,,,,,,
2025-05-01 11:06:26,2025-05-01 11:06:43,IP Address,89.98.163.147,100,17,True,2025-05-01 11:06:44,R_2wQxZNpaDFt5aKb,,,,,52.3672,4.918,anonymous,EN,Ada Shi,74A,No,,,,,,,,,,,,,
2025-05-01 11:06:45,2025-05-01 11:06:59,IP Address,89.98.163.147,100,14,True,2025-05-01 11:07:00,R_2uJO8hGM0Rc2TjF,,,,,52.3672,4.918,anonymous,EN,Ada Shi,75A,No,,,,,,,,,,,,,
2025-05-01 11:07:02,2025-05-01 11:09:30,IP Address,89.98.163.147,100,148,True,2025-05-01 11:09:30,R_2elUsbg9FszIzS8,,,,,52.3672,4.918,anonymous,EN,Ada Shi,76A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,Yes,,,
2025-05-01 11:09:32,2025-05-01 11:09:45,IP Address,89.98.163.147,100,12,True,2025-05-01 11:09:46,R_2PUHTOlO8yiszm1,,,,,52.3672,4.918,anonymous,EN,Ada Shi,77A,No,,,,,,,,,,,,,
2025-05-01 11:09:47,2025-05-01 11:10:52,IP Address,89.98.163.147,100,65,True,2025-05-01 11:10:53,R_8EtQCsNLaTzDDbn,,,,,52.3672,4.918,anonymous,EN,Ada Shi,78A,Yes,First,Yes,Positively,No,,Yes,The Trump-Administration,,,No,No,Yes,
2025-05-01 11:10:55,2025-05-01 11:11:11,IP Address,89.98.163.147,100,15,True,2025-05-01 11:11:11,R_2Ys2RbkqEzhxg9C,,,,,52.3672,4.918,anonymous,EN,Ada Shi,79A,No,,,,,,,,,,,,,
2025-05-01 11:11:12,2025-05-01 11:12:26,IP Address,89.98.163.147,100,74,True,2025-05-01 11:12:27,R_8Gq6xHnVdJOgqe5,,,,,52.3672,4.918,anonymous,EN,Ada Shi,80A,Yes,First,Yes,Positively,Yes,European politicians and EU politicians (e.g. Ursula Von der Leyen),,,,,Yes,,,
2025-05-01 11:12:28,2025-05-01 11:12:47,IP Address,89.98.163.147,100,18,True,2025-05-01 11:12:47,R_2ndThndMR85u5IR,,,,,52.3672,4.918,anonymous,EN,Ada Shi,81A,No,,,,,,,,,,,,,
2025-05-01 11:12:48,2025-05-01 11:13:02,IP Address,89.98.163.147,100,13,True,2025-05-01 11:13:03,R_2SMoLSWEMCd0chP,,,,,52.3672,4.918,anonymous,EN,Ada Shi,82A,No,,,,,,,,,,,,,
2025-05-01 11:13:04,2025-05-01 11:13:27,IP Address,89.98.163.147,100,23,True,2025-05-01 11:13:27,R_3RnWtMX5nmf7w3v,,,,,52.3672,4.918,anonymous,EN,Ada Shi,83A,No,,,,,,,,,,,,,
2025-05-01 11:13:28,2025-05-01 11:13:46,IP Address,89.98.163.147,100,17,True,2025-05-01 11:13:47,R_7PbsHNzIGVxjeet,,,,,52.3672,4.918,anonymous,EN,Ada Shi,84A,No,,,,,,,,,,,,,
2025-05-01 11:13:48,2025-05-01 11:14:40,IP Address,89.98.163.147,100,52,True,2025-05-01 11:14:43,R_3viYhV1lo6XHZsC,,,,,52.3672,4.918,anonymous,EN,Ada Shi,85A,No,,,,,,,,,,,,,
2025-05-01 11:14:45,2025-05-01 11:15:04,IP Address,89.98.163.147,100,18,True,2025-05-01 11:15:04,R_3GNRzTus1cUoTVG,,,,,52.3672,4.918,anonymous,EN,Ada Shi,86A,No,,,,,,,,,,,,,
2025-05-01 11:15:05,2025-05-01 11:15:22,IP Address,89.98.163.147,100,16,True,2025-05-01 11:15:22,R_3zYBTwwhoTLah0a,,,,,52.3672,4.918,anonymous,EN,Ada Shi,87A,No,,,,,,,,,,,,,
2025-05-01 11:15:23,2025-05-01 11:16:52,IP Address,89.98.163.147,100,89,True,2025-05-01 11:16:52,R_7ABkLbY1jNSLd1n,,,,,52.3672,4.918,anonymous,EN,Ada Shi,88A,Yes,First,Yes,Negatively,Yes,Other Individual Republican Politicians,,,,,No,No,No,Yes
2025-05-01 11:16:54,2025-05-01 11:17:08,IP Address,89.98.163.147,100,14,True,2025-05-01 11:17:08,R_52atUYEd3gTUcYo,,,,,52.3672,4.918,anonymous,EN,Ada Shi,89A,No,,,,,,,,,,,,,
2025-05-01 11:17:09,2025-05-01 11:17:19,IP Address,89.98.163.147,100,9,True,2025-05-01 11:17:20,R_3UYMckqrRwHugxH,,,,,52.3672,4.918,anonymous,EN,Ada Shi,90A,No,,,,,,,,,,,,,
2025-05-01 11:17:20,2025-05-01 11:17:32,IP Address,89.98.163.147,100,11,True,2025-05-01 11:17:32,R_7s0wrnKukBDv0N2,,,,,52.3672,4.918,anonymous,EN,Ada Shi,91A,No,,,,,,,,,,,,,
2025-05-01 11:17:33,2025-05-01 11:18:16,IP Address,89.98.163.147,100,43,True,2025-05-01 11:18:17,R_5GrjigXFihuXYKe,,,,,52.3672,4.918,anonymous,EN,Ada Shi,92A,No,,,,,,,,,,,,,
2025-05-01 11:18:18,2025-05-01 11:18:38,IP Address,89.98.163.147,100,20,True,2025-05-01 11:18:38,R_5A9uRNC3kUJ7mxz,,,,,52.3672,4.918,anonymous,EN,Ada Shi,93A,No,,,,,,,,,,,,,
